E,tau,Local_Max
1.0141129037212226,0.3982412060301508,1.0000000000000004
1.2041391071314453,0.4728643216080402,1.000000000000001
1.267481174934853,0.4977386934673367,1.075335644224891
1.267481174934853,0.4977386934673367,1.0752849130721507
1.267481174934853,0.4977386934673367,1.0753097691990823
1.267481174934853,0.4977386934673367,1.075196557445706
1.267481174934853,0.4977386934673367,1.0752362650614127
1.267481174934853,0.4977386934673367,1.0752346632802317
1.3308232427382607,0.5226130653266332,1.0753471772101617
1.3308232427382607,0.5226130653266332,1.0752945022657172
1.3308232427382607,0.5226130653266332,1.0751982787118979
1.3308232427382607,0.5226130653266332,1.0750495804073343
1.3308232427382607,0.5226130653266332,1.0753216712764935
1.3308232427382607,0.5226130653266332,1.0752556685820396
1.3308232427382607,0.5226130653266332,1.075339828931431
1.3308232427382607,0.5226130653266332,1.0752571708501275
1.3941653105416685,0.5474874371859297,1.1181905050269632
1.3941653105416685,0.5474874371859297,1.1179722118396531
1.3941653105416685,0.5474874371859297,1.1182039996183004
1.4575073783450758,0.5723618090452262,1.1181905050269632
1.4575073783450758,0.5723618090452262,1.1182034459012287
1.4575073783450758,0.5723618090452262,1.1178425501099294
1.4575073783450758,0.5723618090452262,1.1177793473433006
1.4575073783450758,0.5723618090452262,1.118174777667779
1.5208494461484836,0.5972361809045227,1.1436655811581145
1.5208494461484836,0.5972361809045227,1.1439240043772847
1.5208494461484836,0.5972361809045227,1.1438744519258477
1.5208494461484836,0.5972361809045227,1.1440572355312955
1.5208494461484836,0.5972361809045227,1.1438006424632892
1.5208494461484836,0.5972361809045227,1.144033767241257
1.5208494461484836,0.5972361809045227,1.1438161488696668
1.5841915139518912,0.6221105527638192,1.1440826838904472
1.5841915139518912,0.6221105527638192,1.1436263935104491
1.5841915139518912,0.6221105527638192,1.144033767241257
1.6475335817552987,0.6469849246231156,1.161824192904913
1.6475335817552987,0.6469849246231156,1.1617244952855728
1.6475335817552987,0.6469849246231156,1.1620767725450796
1.6475335817552987,0.6469849246231156,1.1620859324600143
1.6475335817552987,0.6469849246231156,1.1620140669960881
1.6475335817552987,0.6469849246231156,1.1620524944582378
1.7742177173621139,0.6967336683417086,1.1751487672425869
1.7742177173621139,0.6967336683417086,1.1753622359892237
1.7742177173621139,0.6967336683417086,1.1751415644019556
1.8375597851655214,0.7216080402010051,1.1748378314596775
1.8375597851655214,0.7216080402010051,1.1753114392790043
1.8375597851655214,0.7216080402010051,1.175293597574685
1.8375597851655214,0.7216080402010051,1.1751463795562007
1.8375597851655214,0.7216080402010051,1.1751121093489576
1.8375597851655214,0.7216080402010051,1.1751017527918748
1.9009018529689292,0.7464824120603016,1.185218225680915
1.9009018529689292,0.7464824120603016,1.1853210612763434
1.9009018529689292,0.7464824120603016,1.1850878581776416
1.9009018529689292,0.7464824120603016,1.1853673722597953
1.9009018529689292,0.7464824120603016,1.184904247833717
1.9009018529689292,0.7464824120603016,1.184984373927285
1.9642439207723366,0.771356783919598,1.1850352944331324
1.9642439207723366,0.771356783919598,1.1851812668256567
1.9642439207723366,0.771356783919598,1.1849184774097148
2.0275859885757446,0.7962311557788946,1.1930972666598565
2.0275859885757446,0.7962311557788946,1.1928621188162132
2.0275859885757446,0.7962311557788946,1.193177986621017
2.0275859885757446,0.7962311557788946,1.1929418271120014
2.0275859885757446,0.7962311557788946,1.1931453234465876
2.090928056379152,0.821105527638191,1.192842990106059
2.090928056379152,0.821105527638191,1.1927182740621458
2.090928056379152,0.821105527638191,1.1931905989386005
2.090928056379152,0.821105527638191,1.1930024693336279
2.090928056379152,0.821105527638191,1.193169493220725
2.1542701241825597,0.8459798994974875,1.1993091902070854
2.1542701241825597,0.8459798994974875,1.199298786022774
2.1542701241825597,0.8459798994974875,1.1988199960600452
2.1542701241825597,0.8459798994974875,1.1993132003498146
2.1542701241825597,0.8459798994974875,1.199169628015749
2.1542701241825597,0.8459798994974875,1.198938335075947
2.1542701241825597,0.8459798994974875,1.1989102598655577
2.1542701241825597,0.8459798994974875,1.1991333041548722
2.1542701241825597,0.8459798994974875,1.1992018743303738
2.1542701241825597,0.8459798994974875,1.199292980045384
2.1542701241825597,0.8459798994974875,1.199305641050423
2.217612191985967,0.8708542713567841,1.1992689035911184
2.280954259789375,0.8957286432160805,1.204000671347297
2.280954259789375,0.8957286432160805,1.204194836049648
2.280954259789375,0.8957286432160805,1.2041684679558762
2.344296327592782,0.920603015075377,1.2041935909462786
2.344296327592782,0.920603015075377,1.204014404158472
2.40763839539619,0.9454773869346734,1.2081391432179023
2.40763839539619,0.9454773869346734,1.2080429562477442
2.40763839539619,0.9454773869346734,1.2080942336767866
2.40763839539619,0.9454773869346734,1.207899972750857
2.40763839539619,0.9454773869346734,1.2080949400012297
2.4709804631995973,0.97035175879397,1.2078967285697544
2.4709804631995973,0.97035175879397,1.207899972750857
2.4709804631995973,0.97035175879397,1.2078983533714398
2.534322531003005,0.9952261306532665,1.211283331768685
2.534322531003005,0.9952261306532665,1.2111127228614595
2.534322531003005,0.9952261306532665,1.2111862725083187
2.534322531003005,0.9952261306532665,1.211348938134472
2.534322531003005,0.9952261306532665,1.2113704162585364
2.534322531003005,0.9952261306532665,1.2110465945502535
2.534322531003005,0.9952261306532665,1.2113714201650152
2.5976645988064124,1.020100502512563,1.2113548974552413
2.5976645988064124,1.020100502512563,1.211364320680989
2.5976645988064124,1.020100502512563,1.2111331101220846
2.5976645988064124,1.020100502512563,1.2113600249954466
2.5976645988064124,1.020100502512563,1.2112198705958817
2.5976645988064124,1.020100502512563,1.2113622768241585
2.5976645988064124,1.020100502512563,1.2109983738288403
2.5976645988064124,1.020100502512563,1.211277110698818
2.5976645988064124,1.020100502512563,1.211283331768685
2.66100666660982,1.0449748743718594,1.213937796824001
2.66100666660982,1.0449748743718594,1.21381642588461
2.66100666660982,1.0449748743718594,1.2140562443123297
2.66100666660982,1.0449748743718594,1.2140508444675058
2.724348734413228,1.069849246231156,1.2136193743419406
2.724348734413228,1.069849246231156,1.2136391270950007
2.724348734413228,1.069849246231156,1.2139228132162891
2.724348734413228,1.069849246231156,1.213974573409803
2.7876908022166353,1.0947236180904523,1.2159517977917553
2.7876908022166353,1.0947236180904523,1.2163074038912356
2.851032870020043,1.1195979899497488,1.215891342596527
2.851032870020043,1.1195979899497488,1.2159078042280043
2.9143749378234505,1.1444723618090453,1.2182594045448125
2.9143749378234505,1.1444723618090453,1.2182500883476755
2.9143749378234505,1.1444723618090453,1.2182869472124425
2.9143749378234505,1.1444723618090453,1.218192464721859
2.9777170056268583,1.1693467336683419,1.2180639128863762
2.9777170056268583,1.1693467336683419,1.2181586112869391
2.9777170056268583,1.1693467336683419,1.2178491782961276
2.9777170056268583,1.1693467336683419,1.2179133846111778
2.9777170056268583,1.1693467336683419,1.2182337347796655
3.041059073430266,1.1942211055276384,1.2197163557454302
3.041059073430266,1.1942211055276384,1.2199805896561196
3.041059073430266,1.1942211055276384,1.2199996178799044
3.041059073430266,1.1942211055276384,1.2195454127325764
3.1044011412336734,1.2190954773869347,1.2198983691847962
