Time,Theta0,Theta1,EffectiveCoupling
0.0,0.0,0.1,3.7797631496846193
0.010003334444814937,0.010003334444814941,0.11187987154201708,3.7795740370490036
0.020006668889629875,0.020006668889629875,0.12332222862327676,3.7790067180658764
0.030010003334444812,0.030010003334444812,0.1343443670931617,3.7780612495045025
0.04001333777925975,0.04001333777925975,0.14496283565844315,3.7767377259740122
0.05001667222407469,0.05001667222407469,0.15519372146201288,3.775036279913933
0.060020006668889625,0.060020006668889625,0.16505265162965793,3.7729570815809375
0.07002334111370456,0.07002334111370458,0.17455479327006093,3.770500339031807
0.0800266755585195,0.08002667555851951,0.18371485347479982,3.7676662981026103
0.09003001000333444,0.09003001000333445,0.19254707931834805,3.7644552423841073
0.10003334444814937,0.1000333444481494,0.2010652578580744,3.7608674931933668
0.11003667889296431,0.11003667889296428,0.20928271669170692,3.7569034095416174
0.12004001333777925,0.12004001333777922,0.21721478041066403,3.7525633880983214
0.1300433477825942,0.13004334778259416,0.22487498495376404,3.7478478631514798
0.14004668222740912,0.1400466822274091,0.23227371170150127,3.7427573065641795
0.15005001667222406,0.15005001667222403,0.2394211447029873,3.737292227727371
0.160053351117039,0.16005335111703897,0.24632727067595125,3.7314531735088985
0.17005668556185394,0.1700566855618539,0.2530018790067395,3.725240728198777
0.18006002000666887,0.18006002000666885,0.2594545617503158,3.7186555134507224
0.1900633544514838,0.19006335445148378,0.26569471363026126,3.7116981882199505
0.20006668889629875,0.20006668889629875,0.2717315320387745,3.7043694486972307
0.2100700233411137,0.2100700233411137,0.2775740170366714,3.696670028239228
0.22007335778592862,0.22007335778592862,0.2832309713533852,3.6886006972951146
0.23007669223074356,0.23007669223074356,0.2887110003869666,3.6801622633294757
0.2400800266755585,0.2400800266755585,0.2940225122040836,3.671355570741511
0.25008336112037344,0.25008336112037344,0.29917371754002164,3.6621815007805365
0.2600866955651884,0.2600866955651884,0.3041726297986834,3.6526409714578034
0.2700900300100033,0.2700900300100033,0.30902706505258914,3.642734937454637
0.28009336445481825,0.28009336445481825,0.31374464204287633,3.6324643900269042
0.2900966988996332,0.2900966988996332,0.3183327821792999,3.6218303569058223
0.3001000333444481,0.3001000333444481,0.3227987095402321,3.6108339021951217
0.31010336778926306,0.31010336778926306,0.32714945087266256,3.59947612626456
0.320106702234078,0.320106702234078,0.33139183559219837,3.587758165639817
0.33011003667889294,0.330110036678893,0.3355324957830639,3.5756811928887653
0.3401133711237079,0.34011337112370793,0.3395778661981009,3.5632464165041373
0.3501167055685228,0.35011670556852287,0.3435341842587685,3.5504550807825943
0.36012004001333775,0.3601200400133377,0.347407334727277,3.537308465700218
0.3701233744581527,0.37012337445815263,0.3512007833059702,3.5238078867844247
0.3801267089029676,0.38012670890296757,0.35491840197066044,3.50995469498233
0.39013004334778256,0.3901300433477825,0.35856448728501944,3.495750276525563
0.4001333777925975,0.40013337779259744,0.36214325812407094,3.481196052791551
0.41013671223741244,0.4101367122374124,0.36565885567419076,3.4662934801612897
0.4201400466822274,0.4201400466822273,0.3691153434331067,3.451044049873609
0.4301433811270423,0.43014338112704226,0.3725167072098987,3.435449287875949
0.44014671557185725,0.4401467155718572,0.37586685512499873,3.4195107546716685
0.4501500500166722,0.45015005001667213,0.37916961761019075,3.403230045163889
0.4601533844614871,0.46015338446148707,0.3824287474086107,3.3866087884958977
0.47015671890630206,0.470156718906302,0.38564791957474676,3.369648647888132
0.480160053351117,0.480160053351117,0.3888307314744389,3.3523513204717403
0.49016338779593194,0.4901633877959319,0.39198070278487945,3.3347185371187633
0.5001667222407469,0.5001667222407469,0.39510127549461244,3.31675206226893
0.5101700566855618,0.5101700566855618,0.3981958139035341,3.2984536937530975
0.5201733911303767,0.5201733911303767,0.4012676046228928,3.2798252626133495
0.5301767255751917,0.5301767255751917,0.4043198565752888,3.2608686329197725
0.5401800600200066,0.5401800600200066,0.40735570099467444,3.241585701583925
0.5501833944648216,0.5501833944648216,0.4103781914263541,3.2219783981690218
0.5601867289096365,0.5601867289096365,0.4133903037269843,3.2020486846968508
0.5701900633544514,0.5701900633544514,0.4163949360645735,3.181798555451441
0.5801933977992664,0.5801933977992664,0.4193949089184822,3.161230036779504
0.5901967322440813,0.5901967322440813,0.4223929650794229,3.140345186887663
0.6002000666888962,0.6002000666888962,0.4253917696494603,3.119146095636501
0.6102034011337112,0.6102034011337112,0.428393910042011,3.0976348843314327
0.6202067355785261,0.6202067355785261,0.43140189598184375,3.0758137055104373
0.6302100700233411,0.6302100700233411,0.4344181595050792,3.053684742728661
0.640213404468156,0.640213404468156,0.4374450549591903,3.031250210339919
0.6502167389129709,0.6502167389129709,0.4404848590030016,3.0085123532751123
0.6602200733577859,0.6602200733577859,0.4435397706066901,2.985473446817591
0.6702234078026008,0.6702234078026007,0.4466127038929111,2.9621357963754718
0.6802267422474157,0.6802267422474156,0.4497064001609239,2.9385017372509448
0.6902300766922307,0.6902300766922306,0.4528225963990893,2.9145736344065947
0.7002334111370456,0.7002334111370455,0.45596305079647964,2.8903538822287436
0.7102367455818606,0.7102367455818605,0.45912954358569275,2.865844904287857
0.7202400800266755,0.7202400800266754,0.4623238770428517,2.8410491530960273
0.7302434144714904,0.7302434144714903,0.46554787548760485,2.81596910986156
0.7402467489163054,0.7402467489163053,0.4688033852831259,2.790607284240689
0.7502500833611203,0.7502500833611202,0.4720922748361138,2.764966214086449
0.7602534178059352,0.7602534178059351,0.4754164345967929,2.739048465194718
0.7702567522507502,0.7702567522507501,0.4787777770589127,2.7128566310474733
0.7802600866955651,0.780260086695565,0.48217823675974825,2.686393332553269
0.7902634211403801,0.79026342114038,0.4856197702800996,2.659661217784976
0.800266755585195,0.8002667555851949,0.48910435624429227,2.632662961714796
0.8102700900300099,0.8102700900300098,0.49263399532017715,2.605401265946592
0.8202734244748249,0.8202734244748248,0.4962107102191303,2.577878858445548
0.8302767589196398,0.8302767589196397,0.4998365456960532,2.5500984932651933
0.8402800933644547,0.8402800933644546,0.5035135685493725,2.522062950271816
0.8502834278092697,0.8502834278092696,0.5072438676210401,2.493775034866292
0.8602867622540846,0.8602867622540845,0.5110295537965335,2.4652375777033613
0.8702900966988996,0.8702900966988995,0.5148727600048554,2.4364534344083766
0.8802934311437145,0.8802934311437144,0.5187756412185335,2.4074254852915513
0.8902967655885294,0.8902967655885293,0.5227403744536211,2.37815663505974
0.9003001000333444,0.9003001000333443,0.5267691587696969,2.348649812525775
0.9103034344781593,0.9103034344781592,0.5308642152698646,2.318907970315393
0.9203067689229742,0.9203067689229742,0.5350277871007533,2.2889340845717796
0.9303101033677892,0.9303101033677892,0.5392621394525176,2.2587311546577555
0.9403134378126041,0.9403134378126041,0.5435695595588371,2.228302202855646
0.9503167722574191,0.9503167722574191,0.547952356696917,2.1976502740648507
0.960320106702234,0.960320106702234,0.5524128621874875,2.1667784354971564
0.9703234411470489,0.9703234411470489,0.5569534293948045,2.135689776369811
0.9803267755918639,0.9803267755918639,0.5615764337266487,2.104387407596399
0.9903301100366788,0.9903301100366787,0.5662842726343266,2.072874461475547
1.0003334444814937,1.0003334444814937,0.5710793656126696,2.0411540913774844
1.0103367789263087,1.0103367789263087,0.5759641542000346,2.0092294714285015
1.0203401133711236,1.0203401133711236,0.5809411019783037,1.9771037961933278
1.0303434478159386,1.0303434478159386,0.5860126945728847,1.9447802803554612
1.0403467822607535,1.0403467822607535,0.5911814396527102,1.9122621583954933
1.0503501167055684,1.0503501167055684,0.5964498669302383,1.8795526842674446
1.0603534511503834,1.0603534511503834,0.6018205281614523,1.8466551310731558
1.0703567855951983,1.0703567855951983,0.6072959971458609,1.813572790734763
1.0803601200400132,1.0803601200400132,0.6128788697264984,1.7803089736652868
1.0903634544848282,1.0903634544848282,0.6185717637899237,1.7468670084373752
1.1003667889296431,1.1003667889296431,0.6243773192662216,1.7132502414502242
1.110370123374458,1.110370123374458,0.630298198129002,1.679462036594721
1.120373457819273,1.120373457819273,0.6363370843954002,1.6455057749168303
1.130376792264088,1.130376792264088,0.6424966841260766,1.6113848542792681
1.1403801267089029,1.1403801267089027,0.6487522862454399,1.5771026890214934
1.1503834611537178,1.1503834611537176,0.6550711178818701,1.5426627096180447
1.1603867955985327,1.1603867955985325,0.6614638016380967,1.5080683623352722
1.1703901300433477,1.1703901300433475,0.6679411304586469,1.4733231088864804
1.1803934644881626,1.1803934644881624,0.6745136821471924,1.4384304260855303
1.1903967989329776,1.1903967989329773,0.6811918193665494,1.4033938054989286
1.2004001333777925,1.2004001333777923,0.6879856896386781,1.3682167530964409
1.2104034678226074,1.2104034678226072,0.6949052253446835,1.3329027889002638
1.2204068022674224,1.2204068022674222,0.7019601437248146,1.2974554466327923
1.2304101367122373,1.230410136712237,0.7091599468784653,1.2618782733630118
1.2404134711570522,1.240413471157052,0.7165139217641735,1.2261748291515604
1.2504168056018672,1.250416805601867,0.7240311401996214,1.1903486866944872
1.2604201400466821,1.260420140046682,0.7317204588616362,1.1544034309657472
1.270423474491497,1.2704234744914968,0.7395905192861886,1.118342658858468
1.280426808936312,1.2804268089363118,0.7476497478683943,1.0821699788250236
1.290430143381127,1.2904301433811267,0.7559063558625135,1.045889010515952
1.3004334778259419,1.3004334778259417,0.7643683393819504,1.0095033844177506
1.3104368122707568,1.3104368122707566,0.7730434793992536,0.9730167414895893
1.3204401467155717,1.3204401467155715,0.7819393417461163,0.9364327327989747
1.3304434811603867,1.3304434811603865,0.7910632771133761,0.8997550191564021
1.3404468156052016,1.3404468156052014,0.8004224210510149,0.8629872707490349
1.3504501500500166,1.3504501500500163,0.8100236939681589,0.8261331667734423
1.3604534844948315,1.3604534844948313,0.8198738011330788,0.7891963950674385
1.3704568189396464,1.3704568189396462,0.8299792326731896,0.752180651741056
1.3804601533844614,1.3804601533844612,0.840346263575051,0.7150896408066902
1.3904634878292763,1.390463487829276,0.8509809536843668,0.6779270738084554
1.4004668222740912,1.400466822274091,0.861889147705985,0.640696669450785
1.4104701567189062,1.410470156718906,0.8730764752038984,0.6034021532263169
1.4204734911637211,1.420473491163721,0.8845483506012443,0.566047257043098
1.430476825608536,1.4304768256085358,0.8963099731803035,0.5286357188511482
1.440480160053351,1.4404801600533508,0.9083663270825023,0.4911712822684192
1.450483494498166,1.4504834944981657,0.9207221813084109,0.4536576962061859
1.4604868289429809,1.4604868289429807,0.9333820897177434,0.4160987144939082
1.4704901633877958,1.4704901633877956,0.9463503910293594,0.3784980955036011
1.4804934978326107,1.4804934978326105,0.9596312088212617,0.34085960177375
1.4904968322774257,1.4904968322774255,0.9732284515305987,0.3031869996328088
1.5005001667222406,1.5005001667222404,0.9871458124536621,0.2654840588223191
1.5105035011670556,1.5105035011670553,1.0013867697458882,0.22775455211968776
1.5205068356118705,1.5205068356118703,1.0159545864218587,0.1900022549606605
1.5305101700566854,1.5305101700566852,1.0308523103552982,0.15223094506152995
1.5405135045015004,1.5405135045015002,1.0460827742790768,0.11444440204111495
1.5505168389463153,1.550516838946315,1.0616485957852084,0.07664640704254978
1.5605201733911302,1.5605201733911302,1.0775521773248515,0.03884074235492008
1.5705235078359452,1.570523507835945,1.0937957062083092,0.0010311910347888262
1.5805268422807601,1.58052684228076,1.1103811546050288,-0.036778463472366726
1.590530176725575,1.5905301767255748,1.1273102795436016,-0.0745844377107405
1.60053351117039,1.60053351117039,1.1445846229117638,-0.11238294859279736
1.610536845615205,1.6105368456152047,1.1622055114563958,-0.15017021377782608
1.6205401800600199,1.6205401800600199,1.1801740567835226,-0.1879424520504316
1.6305435145048348,1.6305435145048346,1.198491155358313,-0.22569588369889323
1.6405468489496497,1.6405468489496497,1.2171574885050815,-0.26342673089339813
1.6505501833944647,1.6505501833944645,1.2361735224072854,-0.3011312180640597
1.6605535178392796,1.6605535178392794,1.2555395081075271,-0.33880557227873564
1.6705568522840946,1.6705568522840943,1.2752554815075534,-0.37644602362056084
1.6805601867289095,1.6805601867289095,1.295321263368256,-0.414048805565192
1.6905635211737244,1.6905635211737242,1.3157364593096696,-0.45161015535770355
