Zn,Znp1
47.83439931655425,29.362331715411
29.362331715411,29.50782864654436
29.50782864654436,29.667814631111828
29.667814631111828,29.838916056034535
29.838916056034535,30.0220729494609
30.0220729494609,30.22640874198792
30.22640874198792,30.442676560528636
30.442676560528636,30.679914904782645
30.679914904782645,30.932550369392125
30.932550369392125,31.218647515047945
31.218647515047945,31.52966187854005
31.52966187854005,31.88187253504494
31.88187253504494,32.269721147902324
32.269721147902324,32.71323213622228
32.71323213622228,33.23360291130634
33.23360291130634,33.838276362909724
33.838276362909724,34.569688910584176
34.569688910584176,35.500878225955866
35.500878225955866,36.763756065946865
36.763756065946865,38.79222279233086
38.79222279233086,42.9499919312523
42.9499919312523,34.92150044560041
34.92150044560041,35.978734060899214
35.978734060899214,37.47528654835896
37.47528654835896,40.28102799236146
40.28102799236146,38.90885059623615
38.90885059623615,42.52831331955657
42.52831331955657,35.50293856279257
35.50293856279257,36.78066735553593
36.78066735553593,38.827730122136145
38.827730122136145,42.917496792064654
42.917496792064654,34.986269342218655
34.986269342218655,36.03811790235776
36.03811790235776,37.59755446902149
37.59755446902149,40.557532344369086
40.557532344369086,38.39508802358268
38.39508802358268,43.81686468923597
43.81686468923597,33.89990283003325
33.89990283003325,34.64500916781938
34.64500916781938,35.59934598489337
35.59934598489337,36.91730446813399
36.91730446813399,39.06121353611918
39.06121353611918,41.83735294659051
41.83735294659051,36.446249824073675
36.446249824073675,38.23452735082027
38.23452735082027,42.68416624909741
42.68416624909741,35.252284823684874
35.252284823684874,36.41097821340743
36.41097821340743,38.17638958347714
38.17638958347714,42.54783509096138
42.54783509096138,35.486013694297085
35.486013694297085,36.74384204243987
36.74384204243987,38.74022155090608
38.74022155090608,43.251506263334925
43.251506263334925,34.540510086593784
34.540510086593784,35.44433199659812
35.44433199659812,36.70922534658562
36.70922534658562,38.697698707911826
38.697698707911826,43.751115263907444
43.751115263907444,33.98518465457452
33.98518465457452,34.748128446895095
34.748128446895095,35.738801760104586
35.738801760104586,37.11898760818048
37.11898760818048,39.476121579844715
39.476121579844715,40.58545253386772
40.58545253386772,38.32086367007346
38.32086367007346,43.19154936828662
43.19154936828662,34.65572776190277
34.65572776190277,35.60516042394842
35.60516042394842,36.93041436468369
36.93041436468369,39.08767278233518
39.08767278233518,41.70574908721675
41.70574908721675,36.57556591979755
36.57556591979755,38.4505590817177
38.4505590817177,44.44631740255278
44.44631740255278,33.13365279051258
33.13365279051258,33.71981514152831
33.71981514152831,34.4245891002871
34.4245891002871,35.31998029472998
35.31998029472998,36.51290033448816
36.51290033448816,38.34917082403438
38.34917082403438,43.37952927091669
43.37952927091669,34.392243939894186
34.392243939894186,35.26654296702622
35.26654296702622,36.432355968231064
36.432355968231064,38.20858537349792
38.20858537349792,42.680986812348074
42.680986812348074,35.28407465135187
35.28407465135187,36.481015905821614
36.481015905821614,38.297942243790864
38.297942243790864,43.071337022920936
43.071337022920936,34.80608991198997
34.80608991198997,35.81109114948736
35.81109114948736,37.21890829688688
37.21890829688688,39.69612705639595
39.69612705639595,40.06941912542157
40.06941912542157,39.292899197342756
39.292899197342756,41.08748262978815
41.08748262978815,37.49928072725442
37.49928072725442,40.348443392851706
40.348443392851706,38.73915127973044
38.73915127973044,43.4620274938457
43.4620274938457,34.29707352234407
34.29707352234407,35.14547542188571
35.14547542188571,36.26406452426951
36.26406452426951,37.96974709236566
37.96974709236566,41.61410485291038
41.61410485291038,36.7223614504447
36.7223614504447,38.695226156145516
38.695226156145516,43.64664387620823
43.64664387620823,34.111051955865754
34.111051955865754,34.90534242408447
34.90534242408447,35.952500138833884
35.952500138833884,37.43648203968252
37.43648203968252,40.161632801270294
40.161632801270294,39.090402120744216
39.090402120744216,41.77337399297363
41.77337399297363,36.49745232375282
36.49745232375282,38.33412854711565
38.33412854711565,43.2871830743271
43.2871830743271,34.52964064499908
34.52964064499908,35.462672502977135
35.462672502977135,36.70548181765309
36.70548181765309,38.70728025513681
38.70728025513681,43.69764666323722
43.69764666323722,34.050156339204555
34.050156339204555,34.818267753202356
34.818267753202356,35.83511252047469
35.83511252047469,37.26130260826891
37.26130260826891,39.80370610752396
39.80370610752396,39.78016913056395
39.78016913056395,39.8117896563093
39.8117896563093,39.76784900962973
39.76784900962973,39.89630247299026
39.89630247299026,39.58826264654261
