Time (t),Original_Delayed,Original_Current,Derived_Delayed,Derived_Current,Residual_Error
0.0,1.1611323518892707,0.6639127137749222,1.1611323518671928,0.6639127137351399,3.9782288574485847e-11
1.0,1.131549973723579,0.6450090572806175,1.131549973691722,0.645009057252025,2.859257275389382e-11
2.0,1.0953891945780803,0.6376068354950829,1.0953891945405276,0.6376068354801849,1.4897971745142513e-11
3.0,1.0565518194103753,0.6435721330045788,1.0565518193704784,0.6435721330049478,-3.689271110829395e-13
4.0,1.0181278946028534,0.6633481342102723,1.018127894563159,0.6633481342258454,-1.557309836641707e-11
5.0,0.9824493017998351,0.6954802233057524,0.9824493017622096,0.69548022333455,-2.8797519924239623e-11
6.0,0.951224476263598,0.7368619480224405,0.9512244762293431,0.7368619480610964,-3.865585629370116e-11
7.0,0.9256128247144849,0.7836714303515604,0.9256128246843704,0.7836714303963582,-4.4797832110532454e-11
8.0,0.9061868117712054,0.832395277905423,0.9061868117453936,0.8323952779531878,-4.776479212154072e-11
9.0,0.8927892439590145,0.8804163854117654,0.8927892439369118,0.8804163854602651,-4.8499759763842576e-11
10.0,0.8843583095668953,0.9261157356233382,0.8843583095470241,0.9261157356712901,-4.7951975723492524e-11
11.0,0.8788500655964046,0.968730696301791,0.8788500655764208,0.9687306963487042,-4.691325106165323e-11
12.0,0.8733824083958684,1.0081910896737176,0.8733824083728265,1.0081910897196982,-4.598055269866563e-11
13.0,0.8646599900994627,1.0449715710518375,0.8646599900703804,1.0449715710972973,-4.5459858100116435e-11
14.0,0.849708848000137,1.0798150378657327,0.8497088479628951,1.0798150379108475,-4.5114800784062936e-11
15.0,0.8268721001011066,1.1131761292175997,0.8268721000554726,1.1131761292615665,-4.3966830176600524e-11
16.0,0.7966388036991835,1.1445850161576538,0.7966388036472432,1.144585016198327,-4.0673242551747535e-11
17.0,0.7615835840702381,1.1725725199601391,0.7615835840156792,1.172572519994711,-3.4571900897617525e-11
18.0,0.7253668921687276,1.1954468854680835,0.725366892115591,1.1954468854943883,-2.630473616704876e-11
19.0,0.691696703970141,1.2122486199778923,0.6916967039220784,1.2122486199952214,-1.7329027102164218e-11
20.0,0.6639127137749222,1.2231579287898933,0.6639127137351399,1.2231579287989964,-9.103162668111509e-12
21.0,0.6450090572806175,1.2293793573987226,0.645009057252025,1.2293793574014302,-2.7076119124558318e-12
22.0,0.6376068354950829,1.2328396236439614,0.6376068354801849,1.2328396236427797,1.1817213874110166e-12
23.0,0.6435721330045788,1.2358518343591314,0.6435721330049478,1.2358518343568559,2.275513111271721e-12
24.0,0.6633481342102723,1.2407125490633208,0.6633481342258454,1.2407125490625743,7.465139617579553e-13
25.0,0.6954802233057524,1.249175945327441,0.69548022333455,1.2491759453300844,-2.6434410216324977e-12
26.0,0.7368619480224405,1.2618367226770613,0.7368619480610964,1.261836722683529,-6.467715252256312e-12
27.0,0.7836714303515604,1.2775644436608586,0.7836714303963582,1.2775644436695883,-8.729683642627606e-12
28.0,0.832395277905423,1.2932642182992888,0.8323952779531878,1.293264218306596,-7.307265903477855e-12
29.0,0.8804163854117654,1.3043587557978573,0.8804163854602651,1.3043587557986878,-8.304468224196171e-13
30.0,0.9261157356233382,1.3061513025141067,0.9261157356712901,1.3061513025036535,1.0453193866055699e-11
31.0,0.968730696301791,1.295456673186149,0.9687306963487042,1.2954566731614208,2.4728219472081037e-11
32.0,1.0081910896737176,1.2714298526966863,1.0081910897196982,1.2714298526570305,3.965583417198104e-11
33.0,1.0449715710518375,1.2352038131082417,1.0449715710972973,1.235203813054832,5.340972109024733e-11
34.0,1.0798150378657327,1.188949402780738,1.0798150379108475,1.1889494027158087,6.492917314915303e-11
35.0,1.1131761292175997,1.1351429568943838,1.1131761292615665,1.1351429568207776,7.36062322204134e-11
36.0,1.1445850161576538,1.0763014222267047,1.144585016198327,1.0763014221476763,7.902833942807774e-11
37.0,1.1725725199601391,1.0149274843560945,1.172572519994711,1.0149274842750171,8.107736704232593e-11
38.0,1.1954468854680835,0.953354353307073,1.1954468854943883,0.953354353226982,8.009093388494648e-11
39.0,1.2122486199778923,0.8935065885625025,1.2122486199952214,0.893506588485755,7.674749724628782e-11
40.0,1.2231579287898933,0.8367581752451821,1.2231579287989964,0.8367581751733758,7.18063386528911e-11
41.0,1.2293793573987226,0.7839292981663019,1.2293793574014302,0.7839292981003534,6.594846890806139e-11
42.0,1.2328396236439614,0.7353426215412567,1.2328396236427797,0.735342621481499,5.975775430044905e-11
43.0,1.2358518343591314,0.6908785292078529,1.2358518343568559,0.6908785291541036,5.3749227291177704e-11
44.0,1.2407125490633208,0.6500361992819549,1.2407125490625743,0.6500361992335917,4.836320233181368e-11
45.0,1.249175945327441,0.612051879392229,1.2491759453300844,0.6120518793483369,4.389211216704325e-11
46.0,1.2618367226770613,0.5761122706731852,1.261836722683529,0.5761122706328103,4.037481460272829e-11
47.0,1.2775644436608586,0.5416248277288027,1.2775644436695883,0.541624827691248,3.755473709787793e-11
48.0,1.2932642182992888,0.5084277867453824,1.293264218306596,0.5084277867104123,3.4970026874248106e-11
49.0,1.3043587557978573,0.4768360783316786,1.3043587557986878,0.47683607829955343,3.2125191395948605e-11
50.0,1.3061513025141067,0.44754095181418246,1.3061513025036535,0.44754095178558256,2.8599900225856345e-11
51.0,1.295456673186149,0.42149442588877367,1.2954566731614208,0.4214944258647637,2.4009960686299792e-11
52.0,1.2714298526966863,0.3999050270685068,1.2714298526570305,0.39990502705065023,1.785654957231486e-11
53.0,1.2352038131082417,0.38438986909711187,1.235203813054832,0.38438986908776895,9.342915330279311e-12
54.0,1.188949402780738,0.37725590662238156,1.1889494027158087,0.3772559066251283,-2.7467472740738685e-12
55.0,1.1351429568943838,0.3817802807265726,1.1351429568207776,0.3817802807464384,-1.986577569113024e-11
56.0,1.0763014222267047,0.40207400064062737,1.0763014221476763,0.402074000683293,-4.266564879173984e-11
57.0,1.0149274843560945,0.44171563747765286,1.0149274842750171,0.4417156375464722,-6.881933911628835e-11
58.0,0.953354353307073,0.5008827351733396,0.953354353226982,0.5008827352651648,-9.182521409911715e-11
59.0,0.8935065885625025,0.5742349791093193,0.893506588485755,0.5742349792138788,-1.0455947219156769e-10
60.0,0.8367581752451821,0.6527097315327025,0.8367581751733758,0.6527097316375887,-1.0488621082771488e-10
61.0,0.7839292981663019,0.7278221026814814,0.7839292981003534,0.7278221027774496,-9.596823336011084e-11
62.0,0.7353426215412567,0.7942539981652419,0.735342621481499,0.794253998247642,-8.240008675386434e-11
63.0,0.6908785292078529,0.8497713873622605,0.6908785291541036,0.849771387429848,-6.75874911593155e-11
64.0,0.6500361992819549,0.8940790966542379,0.6500361992335917,0.8940790967076052,-5.336731057070665e-11
65.0,0.612051879392229,0.9278016491264792,0.6120518793483369,0.9278016491669668,-4.048761326203021e-11
66.0,0.5761122706731852,0.951873766698138,0.5761122706328103,0.9518737667272548,-2.911682006612182e-11
67.0,0.5416248277288027,0.9672645129412476,0.541624827691248,0.967264512960433,-1.9185431021639943e-11
68.0,0.5084277867453824,0.974908145145163,0.5084277867104123,0.9749081451557468,-1.0583756093751617e-11
69.0,0.4768360783316786,0.9757338488099254,0.47683607829955343,0.9757338488131735,-3.248068480843358e-12
70.0,0.44754095181418246,0.9707174198654073,0.44754095178558256,0.970717419862588,2.8193003487331225e-12
71.0,0.42149442588877367,0.9609196377272461,0.4214944258647637,0.9609196377196888,7.55728812862344e-12
72.0,0.3999050270685068,0.9475156620001223,0.39990502705065023,0.9475156619892859,1.083633183185384e-11
73.0,0.38438986909711187,0.9318400206828769,0.38438986908776895,0.9318400206704535,1.2423395645555502e-11
74.0,0.37725590662238156,0.915472139693643,0.3772559066251283,0.9154721396817256,1.1917467013233818e-11
75.0,0.3817802807265726,0.9003720011573891,0.3817802807464384,0.9003720011486936,8.695488773469151e-12
76.0,0.40207400064062737,0.8890262326062863,0.402074000683293,0.8890262326043157,1.970645868709653e-12
77.0,0.44171563747765286,0.8844469819979845,0.4417156375464722,0.8844469820068186,-8.83404460694237e-12
78.0,0.5008827351733396,0.8897404057460074,0.5008827352651648,0.8897404057693408,-2.333333526394199e-11
79.0,0.5742349791093193,0.9071176061455061,0.5742349792138788,0.9071176061850756,-3.956956984296767e-11
80.0,0.6527097315327025,0.9367209689114783,0.6527097316375887,0.9367209689656352,-5.415690118582006e-11
81.0,0.7278221026814814,0.975810686891634,0.7278221027774496,0.9758106869546597,-6.30256957734332e-11
82.0,0.7942539981652419,1.0187683071910332,0.794253998247642,1.0187683072539842,-6.295097776387593e-11
83.0,0.8497713873622605,1.0586210131560678,0.849771387429848,1.0586210132099199,-5.385203394325799e-11
84.0,0.8940790966542379,1.0898167962223244,0.8940790967076052,1.089816796261608,-3.928368741412669e-11
85.0,0.9278016491264792,1.1101390839341354,0.9278016491669668,1.1101390839580358,-2.390043718492052e-11
86.0,0.951873766698138,1.1204798116021877,0.9518737667272548,1.1204798116131225,-1.0934808614138092e-11
87.0,0.9672645129412476,1.1234554686694151,0.967264512960433,1.123455468671123,-1.7077450564784158e-12
88.0,0.974908145145163,1.1221735264185346,0.9749081451557468,1.1221735264148303,3.704370143964297e-12
89.0,0.9757338488099254,1.1195414970572968,0.9757338488131735,1.119541497051502,5.794698054728542e-12
90.0,0.9707174198654073,1.117962886980574,0.970717419862588,1.1179628869753078,5.2662318950069675e-12
91.0,0.9609196377272461,1.1192083580971048,0.9609196377196888,1.1192083580942072,2.8976820942716586e-12
92.0,0.9475156620001223,1.1243466909297715,0.9475156619892859,1.124346690930264,-4.924949337237194e-13
93.0,0.9318400206828769,1.133709439564997,0.9318400206704535,1.1337094395690785,-4.0816239277319255e-12
94.0,0.915472139693643,1.146915618616479,0.9154721396817256,1.1469156186235914,-7.112310740353678e-12
95.0,0.9003720011573891,1.1629911209172779,0.9003720011486936,1.1629911209262664,-8.988587651970192e-12
