E,tau,Q_avg,lambda_max
0.12732395447351627,0.05,0.0,-6.620057143610924
0.1906660222769239,0.07487437185929649,0.0,-6.620057143610924
0.2540080900803315,0.09974874371859296,0.0,-9.3353178046247
0.31735015788373905,0.12462311557788945,0.0,-9.3353178046247
0.38069222568714667,0.14949748743718594,0.0,-4.735845828278966
0.44403429349055423,0.1743718592964824,0.0,-4.735845828278966
0.5073763612939618,0.19924623115577889,0.0,-2.6747155327499086
0.5707184290973695,0.22412060301507541,0.0,-2.6747155327499086
0.6340604969007771,0.2489949748743719,0.0,-1.581812131158056
0.6974025647041847,0.27386934673366836,0.0,-1.581812131158056
0.7607446325075923,0.29874371859296484,0.0,-0.9370558699101574
0.8240867003109998,0.3236180904522613,0.0,-0.9370558699101574
0.8874287681144074,0.3484924623115578,0.0,-0.5282348659249807
0.950770835917815,0.37336683417085426,0.0,-0.5282348659249807
1.0141129037212226,0.3982412060301508,0.0,-0.25538163895677046
1.0774549715246302,0.42311557788944726,0.0,-0.25538163895677046
1.1407970393280378,0.44798994974874373,1.311941423791311e-29,-0.06629123270861141
1.2041391071314453,0.4728643216080402,1.311941423791311e-29,-0.06629123270861141
1.267481174934853,0.4977386934673367,0.039915820844281406,-0.0001759257907538443
1.3308232427382607,0.5226130653266332,0.039915820844281406,-0.0001759257907538443
1.3941653105416685,0.5474874371859297,0.08706403919944108,-0.0005332812453224061
1.4575073783450758,0.5723618090452262,0.08706403919944108,-0.0005332812453224061
1.5208494461484836,0.5972361809045227,0.11613392964545247,-8.292506474061235e-05
1.5841915139518912,0.6221105527638192,0.11613392964545247,-8.292506474061235e-05
1.6475335817552987,0.6469849246231156,0.13362855136783006,-0.00025844225120511585
1.7108756495587063,0.6718592964824122,0.13362855136783006,-0.00025844225120511585
1.7742177173621139,0.6967336683417086,0.14359817838559594,2.632125241559406e-05
1.8375597851655214,0.7216080402010051,0.14359817838559594,2.632125241559406e-05
1.9009018529689292,0.7464824120603016,0.14875343792442605,7.945713616777571e-05
1.9642439207723366,0.771356783919598,0.14875343792442605,7.945713616777571e-05
2.0275859885757446,0.7962311557788946,0.15052779841036143,-0.000540829958055666
2.090928056379152,0.821105527638191,0.15052779841036143,-0.000540829958055666
2.1542701241825597,0.8459798994974875,0.1503487967968793,-0.0006483172130931897
2.217612191985967,0.8708542713567841,0.1503487967968793,-0.0006483172130931897
2.280954259789375,0.8957286432160805,0.1486485137766822,9.101834252298693e-06
2.344296327592782,0.920603015075377,0.1486485137766822,9.101834252298693e-06
2.40763839539619,0.9454773869346734,0.14617765058844198,-0.0008966412300707424
2.4709804631995973,0.97035175879397,0.14617765058844198,-0.0008966412300707424
2.534322531003005,0.9952261306532665,0.14306426838437303,0.00017795255622054867
2.5976645988064124,1.020100502512563,0.14306426838437303,0.00017795255622054867
2.66100666660982,1.0449748743718594,0.13971079172381537,0.00018533431146342317
2.724348734413228,1.069849246231156,0.13971079172381537,0.00018533431146342317
2.7876908022166353,1.0947236180904523,0.13630474693062128,-0.00014266938138704217
2.851032870020043,1.1195979899497488,0.13630474693062128,-0.00014266938138704217
2.9143749378234505,1.1444723618090453,0.13277369652056684,5.6940917851532836e-05
2.9777170056268583,1.1693467336683419,0.13277369652056684,5.6940917851532836e-05
3.041059073430266,1.1942211055276384,0.1292412509553585,0.0002703767925613844
3.1044011412336734,1.2190954773869347,0.1292412509553585,0.0002703767925613844
3.1677432090370807,1.2439698492462312,0.12598882977945422,-5.401055143923599e-05
3.2310852768404885,1.2688442211055277,0.12598882977945422,-5.401055143923599e-05
3.2944273446438963,1.2937185929648243,0.12277426085681063,6.010752589259087e-05
3.357769412447304,1.3185929648241208,0.12277426085681063,6.010752589259087e-05
3.421111480250711,1.3434673366834171,0.11986267591925871,0.0011615635677141082
3.4844535480541188,1.3683417085427136,0.11986267591925871,0.0011615635677141082
3.5477956158575266,1.3932160804020102,0.11735938113705797,0.0007495810811207966
3.6111376836609343,1.4180904522613067,0.11735938113705797,0.0007495810811207966
3.674479751464342,1.4429648241206032,0.11542245650398492,0.0007565001139983193
