Time,Q_Stable,Q_Chaotic,Q_Oscillatory
0.0,66.77777777777777,678.7777777777778,24966.777777777777
0.020005001250312578,68.1708095004942,742.9538950728057,42514.691628546076
0.040010002500625155,76.27630857046937,981.6343837730152,137115.34948931317
0.06001500375093773,89.6205070191614,1428.4588857281024,523070.2469077618
0.08002000500125031,107.84509032960878,2177.4319746872566,2051087.196714551
0.10002500625156288,131.23759601840263,3387.9954860024777,7911022.126488503
0.12003000750187547,160.49065929262466,5318.015405552657,27474889.75009484
0.14003500875218805,196.64296573423812,8370.783837566412,68418484.43552934
0.16004001000250062,241.0339607446562,13143.194704422163,82527852.12859972
0.1800450112528132,295.2741814018193,20412.817064302442,36934793.28883402
0.20005001250312576,361.2108728432164,31432.624090515863,5309596.344412872
0.22005501375343836,440.91727943615666,47724.826555067615,2954133.6910457183
0.24006001500375093,536.5968365903734,70374.51381434451,13330730.218075493
0.26006501625406353,650.523346230249,99038.71801241908,20288163.67296597
0.2800700175043761,785.142083873932,131086.99065203837,14423949.933490803
0.30007501875468867,942.3400051889674,159422.73047702404,5250735.765303683
0.32008002000500124,1123.0094961289747,176432.5855478477,1013256.6533662104
0.3400850212553138,1326.5612240876753,176982.42786962603,704543.3787404803
0.3600900225056264,1550.4066473277992,164900.24914194673,1756595.3294136995
0.38009502375593895,1791.5326481011339,143172.16732775234,2414433.402211384
0.4001000250062515,2042.7493079475953,117454.55953615003,2179068.270931535
0.42010502625656415,2285.5340974884625,90531.55848984918,1512414.5956623196
0.4401100275068767,2499.9274093099502,65951.11111395196,893338.0922447685
0.4601150287571893,2667.6642081961213,45665.3127437182,482118.03187547793
0.48012003000750186,2774.7839458949566,30480.10268094183,242017.14358889702
0.5001250312578145,2812.950145446337,19812.495575240566,114541.77509121546
0.5201300325081271,2778.754141378156,12663.527458966531,59099.86430553833
0.5401350337584396,2671.2624770049915,8025.802198902578,52995.8509279141
0.5601400350087522,2494.6231178753246,5075.91986694335,84934.68236583497
0.5801450362590648,2296.8324198429527,3229.534547709319,144288.979570197
0.6001500375093773,2118.368498494854,2083.0542919030368,209755.54035384307
0.6201550387596899,1971.2267631813727,1371.5874692948573,249468.4071303664
0.6401600400100025,1851.8616074510785,938.3518250223282,250314.90168934528
0.660165041260315,1756.5323347615126,681.6269404040584,231471.80674576454
0.6801700425106276,1689.7469370484189,536.4504407639643,212073.6324440735
0.7001750437609402,1636.1895779677764,466.562056711667,195893.91665794302
0.7201800450112528,1577.2202944152605,450.361833102213,177038.0535754269
0.7401850462615653,1502.021145670002,471.2203352305518,154654.61472766998
0.7601900475118779,1407.1996990458854,515.8623364289566,133155.81471921253
0.7801950487621905,1297.1101833289079,573.3561954092299,117153.65742056565
0.800200050012503,1180.6788043501285,631.7348539127244,111478.37310996008
0.8202050512628157,1062.0945812884684,679.3491072102158,124709.97188116555
