t,E0,E1,E2
0.0,0.1,0.1,0.1
0.1,0.1,0.1,0.1
0.2,0.1,0.1,0.1
0.3,0.1,0.1,0.1
0.4,0.1,0.1,0.1
0.5,0.1,0.1,0.1
0.6,0.1,0.1,0.1
0.7000000000000001,0.1,0.1,0.1
0.8,0.1,0.1,0.1
0.9,0.1,0.1,0.1
1.0,0.1,0.1,0.1
1.1,0.1,0.1,0.1
1.2,0.1,0.1,0.1
1.3,0.1,0.1,0.1
1.4000000000000001,0.1,0.1,0.1
1.5,0.1,0.1,0.1
1.6,0.1,0.1,0.1
1.7,0.1,0.1,0.1
1.8,0.1,0.1,0.1
1.9000000000000001,0.1,0.1,0.1
2.0,0.1,0.1,0.1
2.1,0.1,0.1,0.1
2.2,0.1,0.1,0.1
2.3000000000000003,0.1,0.1,0.1
2.4,0.1,0.1,0.1
2.5,0.1,0.1,0.1
2.6,0.1,0.1,0.1
2.7,0.1,0.1,0.1
2.8000000000000003,0.1,0.1,0.1
2.9,0.1,0.1,0.1
3.0,0.1,0.1,0.1
3.1,0.229176788911523,0.08638854751805507,0.12282293248418809
3.2,0.35770930590052735,0.07304661985347465,0.14389115453287862
3.3000000000000003,0.48560076428663207,0.0599688800572982,0.1633395746953816
3.4,0.6128543613629579,0.04715009685923506,0.18129272925883289
3.5,0.7394732784760597,0.03458514257508661,0.1978655797056062
3.6,0.8654606811054597,0.022268991055604224,0.2131642488592857
3.7,0.9908197189427856,0.010196715675962583,0.22728670043304708
3.8000000000000003,1.1155535259705127,-0.0016365126349559905,0.2403233663318757
3.9,1.239665220540313,-0.013235427326254346,0.25235772572549875
4.0,1.3631579054510148,-0.024604668118463256,0.26346683960007433
4.1,1.4860346680261731,-0.03574878285949149,0.27372184421159385
4.2,1.6082985801912522,-0.046672229343825665,0.28318840660078376
4.3,1.7299526985504237,-0.05737937709570739,0.2919271450863579
4.4,1.851000064462983,-0.06787450911700131,0.29999401742921156
4.5,1.9714437041193822,-0.07816182360045286,0.30744067915313456
4.6000000000000005,2.0912866286168863,-0.08824543560902147,0.3143148143165184
4.7,2.2105318340348488,-0.09812937872196051,0.3206604408531267
4.8,2.3291823015096167,-0.10781760664830284,0.3265181924371507
4.9,2.4472409973090565,-0.11729583027514227,0.3319074359836271
5.0,2.5647108729067116,-0.12402365387310911,0.3343745248242612
5.1000000000000005,2.6815948650555907,-0.126390922878578,0.332548921336818
5.2,2.797895895861585,-0.12456768880531596,0.3268419084168641
5.3,2.9136168728565215,-0.11871897848793694,0.3176315393375099
5.4,3.028760689070853,-0.10900492634060525,0.30526522436441705
5.5,3.1433302231059814,-0.09558090339142576,0.29006211791451025
5.6000000000000005,3.257328339206224,-0.07859764313548988,0.27231532157325394
5.7,3.3707578873304223,-0.05820136427341615,0.252293917131753
5.8,3.4836217032231866,-0.03453389040769611,0.23024484272271414
5.9,3.5959226084857927,-0.007732766768980152,0.20639462412994844
6.0,3.7076741969190032,0.022057847771406725,0.1809509724177202
6.1000000000000005,3.8059614674669495,0.06756244956819814,0.15410425816908438
6.2,3.878041845497957,0.1410832096684362,0.1260288718312257
6.3,3.924205683870909,0.24183974182353704,0.09688447893596544
6.4,3.9450102066958856,0.368801303205615,0.06681717829087264
6.5,3.9431010286734156,0.5188788633138368,0.03596057061703539
6.6000000000000005,3.930249490262249,0.6799616658184775,0.004436744539937143
6.7,3.936083296288519,0.8223970548397176,-0.027642813683512842
6.8,3.987274554484938,0.9199572607413499,-0.06017477241119451
6.9,4.077862217392922,0.978814020821819,-0.09268750365168704
7.0,4.189309959349947,1.016657987070129,-0.12394204666198938
7.1000000000000005,4.309818784938655,1.0441645350729156,-0.15273627241354984
7.2,4.433985337039198,1.0655652064852763,-0.17801142753638893
7.3,4.559486335422808,1.0820314735334198,-0.19883960171181467
7.4,4.685302143662666,1.0934799963929211,-0.21441219939329748
7.5,4.81096584005279,1.099334061159733,-0.22402933713966003
7.6000000000000005,4.936253945973925,1.0988358157508105,-0.2270900935807145
7.7,5.06105527738677,1.0911772924873449,-0.22308354545723633
7.8,5.185312858084975,1.0755570828605598,-0.21158052876551192
7.9,5.308997004663252,1.051204605533927,-0.19222536669994747
8.0,5.432092309897604,1.0156001813887674,-0.16296718070701668
8.1,5.5545910949624355,0.9610617599183819,-0.11686928858804321
8.2,5.676489995526969,0.8793139915447895,-0.04682478018404625
8.3,5.797788122917766,0.7627068980282353,0.053272938144825796
8.4,5.918486043908388,0.6121200794672234,0.18081690816845197
8.5,6.038585199213106,0.4950847862930163,0.26833702731789777
8.6,6.1580875637574435,0.45389134608168324,0.27797410825803265
8.700000000000001,6.276995443659344,0.4355546569716999,0.26564006771019366
8.8,6.395311352357516,0.4223788500913266,0.2496260533651357
8.9,6.513037933568995,0.41101164609610086,0.23334688858039804
9.0,6.630177912521076,0.4005910536263624,0.2176205620799012
9.1,6.74673405184661,0.39079643327031527,0.20269658189240097
9.200000000000001,6.862709110014932,0.38146316986407014,0.18866077053678085
9.3,6.978105880685209,0.37248362261132695,0.17554040222970696
9.4,7.092927177973581,0.3637742485971609,0.1633393935141536
9.5,7.207175819626638,0.355260029297381,0.1520547330613766
9.6,7.320854625758533,0.34686231149658125,0.141688656341
9.700000000000001,7.433966443287737,0.33848356362814075,0.13226311612486244
9.8,7.546514167215306,0.3299815618189921,0.12384374583162724
9.9,7.6585006823363795,0.32110190526892385,0.11660336427729982
10.0,7.769928805930949,0.31118378476265823,0.11110344606813387
10.1,7.880801305425834,0.29804993191023604,0.10935702903127847
10.200000000000001,7.991120926121053,0.2722696968117032,0.12036186905756456
10.3,8.100890402289108,0.19340878048006035,0.18284588839421287
10.4,8.21011245943218,0.051832737976063734,0.30259664188504404
10.5,8.318789813881885,-0.0887819713284075,0.41480244143429934
