Time,R_Low,R_Crit,R_High
0.0,0.10517096925077826,0.10517096925077826,0.10517096925077826
0.05008347245409015,0.10667437952962808,0.10752814930880439,0.11249126462371399
0.1001669449081803,0.10818401219728464,0.10992768324477678,0.12032562118739552
0.15025041736227046,0.1096989652672927,0.11236937135807266,0.1287038988097075
0.2003338898163606,0.11121835408439226,0.11485305811350202,0.1376574664482805
0.25041736227045075,0.11274129477889978,0.11737861974580988,0.14721916064433255
0.3005008347245409,0.11426689572818234,0.119945950562573,0.1574232363396645
0.35058430717863104,0.11579424660831562,0.12255495198303452,0.1683052601353644
0.4006677796327212,0.11732240933902055,0.1252055147590239,0.17990196341816106
0.4507512520868114,0.11885040476454874,0.12789750283773793,0.19225099565258116
0.5008347245409015,0.12037720128220859,0.13063073498049543,0.2053905578713872
0.5509181969949917,0.12190170279203867,0.13340496528431273,0.21935887441205504
0.6010016694490818,0.12342273574564269,0.1362198614258507,0.23419345834513944
0.651085141903172,0.12493903750202702,0.13907498266101626,0.24993010982050923
0.7011686143572621,0.12644924470423424,0.14196975373574183,0.26660163200093534
0.7512520868113522,0.12795188040243627,0.14490344007153366,0.2842362042122089
0.8013355592654424,0.12944534204262373,0.1478751206504112,0.30285541046655323
0.8514190317195326,0.13092789168180594,0.15088365980069116,0.3224719496531894
0.9015025041736228,0.13239764569386128,0.15392767836650692,0.3430871106365793
0.9515859766277128,0.13385256555804625,0.15700552432169704,0.3646881716212854
1.001669449081803,0.1352904502083351,0.16011524399959462,0.38724598254488735
1.0517529215358932,0.13670892981883237,0.1632545528500748,0.41071309074616874
1.1018363939899833,0.13810546113638375,0.16642080812135995,0.4350228381119769
1.1519198664440735,0.13947732492236353,0.16961098249159134,0.46008988970640796
1.2020033388981637,0.14082162524852293,0.17282164003616027,0.48581245411428076
1.2520868113522539,0.14213529131403127,0.1760489154706998,0.5120762458429646
1.302170283806344,0.14341508190582755,0.1792884967602958,0.5387596724641415
1.352253756260434,0.14465759143904794,0.18253561085260894,0.5657392066863142
1.4023372287145242,0.14585925876412628,0.1857850145522491,0.5928934380757778
1.4524207011686143,0.14701638194524314,0.18903099662613784,0.6201042337854245
1.5025041736227045,0.14812513137511296,0.19226737583809872,0.6472539607356548
1.5525876460767947,0.14918156788368692,0.19548751651320087,0.6742188698110296
1.6026711185308848,0.15018166369514782,0.19868434542870592,0.700860275949577
1.652754590984975,0.15112132508232448,0.20185037682860074,0.7270164873315892
1.7028380634390652,0.15199641882186382,0.2049777520100622,0.7524990225721301
1.7529215358931554,0.15280280018570613,0.20805827630563323,0.7770959613489572
1.8030050083472455,0.15353634219637305,0.2110834762965519,0.8005833350019528
1.8530884808013357,0.15419296871070934,0.2140446555658671,0.8227428888851631
1.9031719532554257,0.15476868688154438,0.21693296112429197,0.843382306055194
1.9532554257095158,0.15525962109765565,0.21973945918753593,0.8623530716080337
2.003338898163606,0.15566204820103574,0.2224552085546352,0.8795620173710424
2.0534223706176964,0.15597243191532673,0.2250713461816862,0.8949747681607988
